clause,aspect_pred,aspect_sim,sentiment_pred,rating,aspect_true,sentiment_true,senti_neural_cls,senti_lex_cls
"Когда обнаружился брак у двери, сотрудники решили проблему быстро и без лишних вопросов",Качество работ,0.494,0.9295984823256731,5.0,Гарантия и недочёты,1,1,0
Монтаж ПВХ окон и комплектующих мастера выполнили качественно и работали аккуратно,Качество работ,0.576,0.926878510043025,5.0,Качество работ,1,1,1
Все получилось красиво и стильно,Качество работ,0.447,0.968554878141731,5.0,Качество работ,1,1,0
"Помогли подобрать материалы, цветовые решения, даже мебель подсказали",Качество работ,0.479,0.9742520018480718,5.0,Профессионализм,1,1,0
"Ведь квартира выглядит стильно, да и никаких недочетов я не обнаружил",Качество работ,0.459,0.12096661329269409,5.0,Качество работ,1,0,0
В целом осталось положительное впечатление,Качество работ,0.627,0.9446455547586083,5.0,нет,1,1,0
В итоге остались довольны качеством и сервисом,Качество работ,0.589,0.9333280781283975,5.0,Качество работ,1,1,1
"Цены адекватные, качество работ хорошее, прораб Денис ответственный и честный человек, понравилось с ним работать, буду рекомендовать Атлон знакомым",Качество работ,0.61,0.962914474774152,5.0,Цена и смета,1,1,1
Рабочие прибыли точно в срок с необходимым инструментом и материалами,Качество работ,0.63,0.0549103319644928,5.0,Сроки,1,0,1
Компанию рекомендую,Качество работ,0.495,0.05578569322824478,5.0,нет,1,0,1
Колесики не отличишь,Коммуникация,0.612,0.05542939901351929,5.0,Качество работ,1,0,0
Поэтому стал интересоваться на работе и у друзей кому бы обратиться за помощью,Коммуникация,0.436,-0.6836448758840561,5.0,нет,0,-1,0
Познакомился с прорабом и рабочими,Коммуникация,0.638,0.055332161486148834,5.0,нет,0,0,0
Первичные замеры и консультации были сделаны уже в течение дня после обращения,Коммуникация,0.44,-0.6838930621743202,5.0,Сроки,1,-1,0
"Достоинства Работа велась организованно Комментарий После долгих раздумий мы выбрали эту компанию, отзывы читали, вызывали сметчика, плюс в чате ЖК о них хорошее говорили",Коммуникация,0.542,-0.6838027834892273,5.0,Профессионализм,1,-1,1
"Договор №КС/41267, квартира в ЖК «Огни», 62 м²",Коммуникация,0.485,0.05657161772251129,5.0,нет,0,0,0
"Подкупили доброжелательные сотрудники, первый раз таких вижу",Коммуникация,0.567,0.05510183423757553,5.0,Вежливость,1,0,0
"Обращался в компанию для ремонта в моей новостройке на метро Черная Речка, в целом работой доволен",Коммуникация,0.485,0.9694862863980234,5.0,нет,1,1,1
"Бригадир всегда был на связи, отвечал на возникшие вопросы",Коммуникация,0.785,0.11989225819706917,5.0,Коммуникация,1,0,0
"Еще хочу отметить менеджера Елену, которая контролировала все процессы",Коммуникация,0.493,0.976883401395753,5.0,Профессионализм,1,1,0
"Человек спокойный, всегда на связи в мессенджере, скидывал фотоотчеты",Коммуникация,0.554,0.12044142559170723,5.0,Коммуникация,1,0,0
"Расположение сантехники было тщательно подогнано под нас, наш рост и наши бытовые привычки",Коммуникация,0.508,0.06939079985022545,5.0,Качество работ,1,0,0
"К тому же мастера здесь очень толковые и грамотные, никаких лишних услуг не навязывали, консультировали грамотно и по делу",Профессионализм,0.549,0.9776430290658027,5.0,Профессионализм,1,1,1
"Мне важны отзывы, характеристики",Профессионализм,0.578,0.055943477898836136,5.0,нет,0,0,0
"Из плюсов: Первое впечатление осталось отличным благодаря замерщику Екатерине, которая провела детальный замер, детально рассказала про услуги компании, показала нам примеры работ по инженерии, малярке, за что ей отдельное спасибо",Профессионализм,0.622,0.9066697377711535,5.0,Профессионализм,1,1,1
Атлон ФМ точно советуем,Профессионализм,0.583,0.0555831715464592,5.0,нет,1,0,0
"Это вносит небольшую сумятицу, так как постоянное разные люди",Профессионализм,0.559,0.0554998479783535,5.0,Профессионализм,-1,0,0
"Мастер сам определяет поломку, сам ищет детали, сам чинит",Профессионализм,0.626,0.11396115273237228,5.0,Профессионализм,1,0,0
И вправду опытные мастера работают в компании Прораб Нева,Профессионализм,0.755,0.05884957313537598,5.0,Профессионализм,1,0,0
"Теперь я знаю, что сервис можно советовать всем своим знакомым, т",Профессионализм,0.509,0.9476879732683301,5.0,нет,1,1,0
Пользовался услугами организации уже раза три,Профессионализм,0.441,0.054772183299064636,5.0,нет,0,0,0
Сразу хочу отметить профессионализм сотрудников компании,Профессионализм,0.594,0.9667552490718663,5.0,Профессионализм,1,1,1
"Мастер всегда придет и все исправит, если что-то случится, например замок заедает",Профессионализм,0.488,0.11876413226127625,5.0,Гарантия и недочёты,1,0,0
Однозначно рекомендую,Профессионализм,0.565,0.9737770222127438,5.0,нет,1,1,1
"Жена принимала монтажников дома, пока меня не было, и осталась довольна: всё сделали быстро и качественно",Сроки,0.502,0.9764423812739551,5.0,Сроки,1,1,1
"Сломалась стиральная машина, позвонили в сервисный центр, составили заявку, мастер приехал на следующий день, все быстро и четко отремонтировал",Сроки,0.434,0.9770509744994342,5.0,Сроки,1,1,0
"Молодой человек все очень быстро сделал, справился в установленные сроки",Сроки,0.7,0.9670736701227725,5.0,Сроки,1,1,1
В общей сложности было затрачено чуть больше месяца,Сроки,0.506,-0.6834340840578079,5.0,Сроки,0,-1,0
команда справилась,Сроки,0.599,0.9499276466667652,5.0,нет,1,1,0
Всё сделали буквально за пару часов,Сроки,0.521,0.9386113760992885,5.0,Сроки,1,1,0
"Позвонила, мне все доступно объяснили, подошла, заказала, все прошло быстро и четко, отношение внимательное",Сроки,0.496,0.9777303943410516,5.0,Сроки,1,1,1
"В оговоренные сроки с ремонтом уложились, результат соответствует моим ожиданиям,",Сроки,0.532,0.9767334836069494,5.0,Сроки,1,1,1
"Были небольшие задержки по срокам,",Сроки,0.605,0.5690314285457134,5.0,Сроки,-1,1,1
По срокам вложились,Сроки,0.763,0.05615399777889252,5.0,Сроки,1,0,1
Мне вовремя прислали документы и отзвонились по поводу работ,Сроки,0.598,0.17404352128505707,5.0,Коммуникация,1,1,-1
"Все было вовремя, качественно",Сроки,0.721,0.8862296734005213,5.0,Сроки,1,1,1
Еще и гарантию дали на 2 года,Цена и смета,0.472,0.05491144210100174,5.0,Гарантия и недочёты,1,0,0
В процессе даже немного сэкономили на закупке материалов благодаря вам,Цена и смета,0.512,0.9715772354975343,5.0,Цена и смета,1,1,1
За недавнее время в сервис обращалась дважды,Цена и смета,0.489,0.6152374893426895,5.0,нет,0,1,0
при этом уложиться в четко ограниченный бюджет и не влезть в кредиты из-за внезапно выросшей цены,Цена и смета,0.5,0.11475428193807602,5.0,Цена и смета,1,0,0
"По стоимости всё получилось столько, сколько договаривались изначально",Цена и смета,0.759,0.056813959032297134,5.0,Цена и смета,1,0,0
И даже цена ремонта нормальная получилась,Цена и смета,0.631,0.935723920352757,4.0,Цена и смета,1,1,0
"Выбрали компанию, так как в другом месте были сумасшедшие цены на доставку, зашли в эту фирму, все устроило",Цена и смета,0.604,0.9534591175615788,5.0,Цена и смета,1,1,0
Уровень за который не жалко заплатить,Цена и смета,0.782,-0.6838214173913002,5.0,Цена и смета,1,-1,0
Управились за 1 день и по цене приемлемо вышло,Цена и смета,0.587,0.05562876909971237,5.0,Цена и смета,1,0,0
Хотя стоимость не была маленькой,Цена и смета,0.769,0.059895433485507965,5.0,Цена и смета,-1,0,0
Перед покупкой проверял и все работало,Цена и смета,0.498,0.05157866328954697,5.0,нет,0,0,0
"Стоимость услуг здесь очень приемлемая, обязательно буду всем рекомендовать",Цена и смета,0.423,0.9774013126734644,5.0,Цена и смета,1,1,1
Мы обратились в эту компанию по рекомендации наших знакомых и не пожалели,Честность,0.427,0.9739775946363807,5.0,нет,1,1,1
"В общем, все с ними согласовал",Честность,0.751,0.5324525684118271,5.0,Коммуникация,1,1,0
Все соответствует нашим требованиям,Честность,0.644,0.97723972145468,5.0,Качество работ,1,1,0
"После долгих поисков выбрала эту компанию для капитального ремонта, и решение оказалось верным",Честность,0.432,0.9444945435971022,5.0,нет,1,1,0
В итоге у РВТ оказались наиболее приемлемые условия,Честность,0.49,0.8035433012992144,5.0,Цена и смета,1,1,0
Ребята не подвели,Честность,0.674,0.0429549515247345,5.0,Честность,1,0,0
"Весь ремонт прошел без задержек, как по договору",Честность,0.623,0.9261154318228364,5.0,Сроки,1,1,0
всё было обоснованно,Честность,0.709,0.6021982952952385,5.0,Честность,1,1,0
оставила заявку - и со мной связались уже через минут 20,Честность,0.462,0.9145467467606068,5.0,Коммуникация,1,1,0
"Все сделали мне так как я хотела, учли все пожелания и просьбы",Честность,0.506,0.4706934913992882,5.0,Коммуникация,1,1,0
всё организовано чётко,Честность,0.592,0.977439189562574,5.0,Профессионализм,1,1,0
"Все сделали идеально, даже придраться не к чему",Честность,0.623,0.9746251469478011,5.0,Качество работ,1,1,1
"Остался только мелкий декор, в дом уже во всю живем",Чистота,0.653,-0.6833266466856003,5.0,нет,0,-1,0
А этим занимаются не все фирмы,Чистота,0.446,-0.06402475386857986,5.0,нет,1,0,0
"Ирина придумала нам всю планировку, сметчик быстро все посчитал, прораб Евгений не подвел по срокам",Чистота,0.565,0.05618369206786156,5.0,Сроки,1,0,1
В процессе ремонта никаких скрытых доплат не было,Чистота,0.515,0.058708325028419495,5.0,Честность,1,0,0
"И главное - после ремонта все чисто, ни пылинки",Чистота,0.628,0.9748101592995226,5.0,Чистота,1,1,1
"Достоинства Приёмка прошла спокойно, без замечаний Недостатки Не нашла Комментарий Атлон ФМ сделали нам ремонт в новостройке",Чистота,0.482,0.9465817296877503,5.0,Качество работ,1,1,0
"Задача стояла сделать капитальный ремонт в квартир, в которой последний раз вообще переклеивали обои лет 20 назад, причём клеили их на газеты 😖Мы как начали сами отдирать, так и плюнули на это через 10 минут",Чистота,0.522,-0.6835993602871895,5.0,нет,0,-1,0
"Качество работ на высоте и цена в процессе ни разу не менялась, ребята четко вписались в смету и по срокам так же уложились",Чистота,0.523,0.9455557717010379,5.0,Качество работ,1,1,1
"Трезвые и опрятные работники, что нынче, к сожалению, большая редкость",Чистота,0.573,0.2837851010262966,5.0,Профессионализм,1,1,0
"Мастера сделали все аккуратно, никакой грязи, простоев и прочих неурядиц не было",Чистота,0.642,0.9234688924625516,5.0,Чистота,1,1,1
"По срокам ремонт длился относительно недолго, особенно если учитывать большую площадь моей квартиры",Чистота,0.468,0.12373293191194534,5.0,Сроки,1,0,1
"Демонтаж + вывоз мусора (за допплату,",Чистота,0.763,0.12463303655385971,5.0,Чистота,0,0,-1
