clause,aspect_pred,aspect_sim,sentiment_pred,rating,aspect_true,sentiment_true
"Мастер сам определяет поломку, сам ищет детали, сам чинит",Профессионализм,0.626,0.054,5.0,,
И вправду опытные мастера работают в компании Прораб Нева,Профессионализм,0.755,-0.0,5.0,,
"Теперь я знаю, что сервис можно советовать всем своим знакомым, т",Профессионализм,0.509,0.913,5.0,,
Пользовался услугами организации уже раза три,Профессионализм,0.441,-0.131,5.0,,
Сразу хочу отметить профессионализм сотрудников компании,Профессионализм,0.594,-0.013,5.0,,
"Мастер всегда придет и все исправит, если что-то случится, например замок заедает",Профессионализм,0.488,-0.295,5.0,,
Однозначно рекомендую,Профессионализм,0.565,0.454,5.0,,
"Жена принимала монтажников дома, пока меня не было, и осталась довольна: всё сделали быстро и качественно",Сроки,0.502,0.992,5.0,,
"Сломалась стиральная машина, позвонили в сервисный центр, составили заявку, мастер приехал на следующий день, все быстро и четко отремонтировал",Сроки,0.434,-0.718,5.0,,
"Молодой человек все очень быстро сделал, справился в установленные сроки",Сроки,0.7,0.926,5.0,,
В общей сложности было затрачено чуть больше месяца,Сроки,0.506,-0.045,5.0,,
команда справилась,Сроки,0.599,-0.404,5.0,,
Всё сделали буквально за пару часов,Сроки,0.521,0.484,5.0,,
"Позвонила, мне все доступно объяснили, подошла, заказала, все прошло быстро и четко, отношение внимательное",Сроки,0.496,-0.826,5.0,,
"В оговоренные сроки с ремонтом уложились, результат соответствует моим ожиданиям,",Сроки,0.532,0.409,5.0,,
"Были небольшие задержки по срокам,",Сроки,0.605,0.021,5.0,,
По срокам вложились,Сроки,0.763,-0.093,5.0,,
Мне вовремя прислали документы и отзвонились по поводу работ,Сроки,0.598,-0.491,5.0,,
"Все было вовремя, качественно",Сроки,0.721,0.833,5.0,,
Еще и гарантию дали на 2 года,Цена и смета,0.472,-0.09,5.0,,
В процессе даже немного сэкономили на закупке материалов благодаря вам,Цена и смета,0.512,-0.406,5.0,,
За недавнее время в сервис обращалась дважды,Цена и смета,0.489,-0.099,5.0,,
при этом уложиться в четко ограниченный бюджет и не влезть в кредиты из-за внезапно выросшей цены,Цена и смета,0.5,-0.302,5.0,,
"По стоимости всё получилось столько, сколько договаривались изначально",Цена и смета,0.759,-0.066,5.0,,
И даже цена ремонта нормальная получилась,Цена и смета,0.631,0.024,4.0,,
"Выбрали компанию, так как в другом месте были сумасшедшие цены на доставку, зашли в эту фирму, все устроило",Цена и смета,0.604,-0.19,5.0,,
Уровень за который не жалко заплатить,Цена и смета,0.782,-0.837,5.0,,
Управились за 1 день и по цене приемлемо вышло,Цена и смета,0.587,-0.549,5.0,,
Хотя стоимость не была маленькой,Цена и смета,0.769,-0.176,5.0,,
Перед покупкой проверял и все работало,Цена и смета,0.498,-0.422,5.0,,
"Стоимость услуг здесь очень приемлемая, обязательно буду всем рекомендовать",Цена и смета,0.423,0.406,5.0,,
Мы обратились в эту компанию по рекомендации наших знакомых и не пожалели,Честность,0.427,-0.216,5.0,,
"В общем, все с ними согласовал",Честность,0.751,0.034,5.0,,
Все соответствует нашим требованиям,Честность,0.644,0.671,5.0,,
"После долгих поисков выбрала эту компанию для капитального ремонта, и решение оказалось верным",Честность,0.432,-0.255,5.0,,
В итоге у РВТ оказались наиболее приемлемые условия,Честность,0.49,-0.154,5.0,,
Ребята не подвели,Честность,0.674,-0.332,5.0,,
"Весь ремонт прошел без задержек, как по договору",Честность,0.623,-0.723,5.0,,
всё было обоснованно,Честность,0.709,0.562,5.0,,
оставила заявку - и со мной связались уже через минут 20,Честность,0.462,-0.839,5.0,,
"Все сделали мне так как я хотела, учли все пожелания и просьбы",Честность,0.506,0.693,5.0,,
всё организовано чётко,Честность,0.592,0.149,5.0,,
"Все сделали идеально, даже придраться не к чему",Честность,0.623,0.975,5.0,,
"Остался только мелкий декор, в дом уже во всю живем",Чистота,0.653,-0.526,5.0,,
А этим занимаются не все фирмы,Чистота,0.446,-0.325,5.0,,
"Ирина придумала нам всю планировку, сметчик быстро все посчитал, прораб Евгений не подвел по срокам",Чистота,0.565,-0.017,5.0,,
В процессе ремонта никаких скрытых доплат не было,Чистота,0.515,-0.71,5.0,,
"И главное - после ремонта все чисто, ни пылинки",Чистота,0.628,-0.029,5.0,,
"Достоинства Приёмка прошла спокойно, без замечаний Недостатки Не нашла Комментарий Атлон ФМ сделали нам ремонт в новостройке",Чистота,0.482,-0.28,5.0,,
"Задача стояла сделать капитальный ремонт в квартир, в которой последний раз вообще переклеивали обои лет 20 назад, причём клеили их на газеты 😖Мы как начали сами отдирать, так и плюнули на это через 10 минут",Чистота,0.522,-0.875,5.0,,
"Качество работ на высоте и цена в процессе ни разу не менялась, ребята четко вписались в смету и по срокам так же уложились",Чистота,0.523,-0.179,5.0,,
"Трезвые и опрятные работники, что нынче, к сожалению, большая редкость",Чистота,0.573,-0.502,5.0,,
"Мастера сделали все аккуратно, никакой грязи, простоев и прочих неурядиц не было",Чистота,0.642,-0.178,5.0,,
"По срокам ремонт длился относительно недолго, особенно если учитывать большую площадь моей квартиры",Чистота,0.468,0.052,5.0,,
"Демонтаж + вывоз мусора (за допплату,",Чистота,0.763,-0.922,5.0,,
